Player,Position,Age,Team,Games played,Games started,Mintues played,Field goals,Field goals attempted,Field goal attempts per game,3 pointers,3 pointers attempted,Free throws,Free throws attempted,Rebounds,Assists,Steals,Blocks,Turnovers,Personal fouls,Points,Points per game
Aaron Brooks,PG,31,CHI,69,0,1108,188,469,6.8,66,185,49,64,101,180,30,10,82,132,491,7.1
Aaron Gordon,PF,20,ORL,78,37,1863,274,579,7.4,42,142,129,193,507,128,59,55,66,153,719,9.2
Aaron Harrison,SG,21,CHO,21,0,93,5,19,0.9,3,10,5,12,15,2,6,0,4,10,18,0.9
Adreian Payne,PF,24,MIN,52,2,486,53,145,2.8,9,32,17,26,111,29,16,11,36,77,132,2.5
Al Horford,C,29,ATL,82,82,2631,529,1048,12.8,88,256,103,129,596,263,68,121,107,163,1249,15.2
Al Jefferson,C,31,CHO,47,18,1096,245,505,10.7,0,0,72,111,301,70,30,41,34,117,562,12
Alan Anderson,SG,33,WAS,13,0,192,21,59,4.5,12,37,11,15,27,14,4,1,2,25,65,5
Alan Williams,PF,23,PHO,10,0,68,10,24,2.4,0,0,9,14,38,5,4,5,6,15,29,2.9
Alec Burks,SG,24,UTA,31,3,797,137,334,10.8,32,79,106,141,109,63,18,4,51,71,412,13.3
Alex Len,C,22,PHO,78,46,1821,264,624,8,1,7,174,239,594,97,38,62,145,230,703,9
Alex Stepheson,PF,28,LAC,4,0,12,1,1,0.3,0,0,0,2,2,0,0,2,0,4,2,0.5
Alex Stepheson,PF,28,MEM,4,0,61,8,26,6.5,0,0,4,10,26,2,1,3,0,8,20,5
Alex Stepheson,PF,28,TOT,8,0,73,9,27,3.4,0,0,4,12,28,2,1,5,0,12,22,2.8
Alexis Ajinca,C,27,NOP,59,17,861,150,315,5.3,0,1,52,62,269,31,19,36,54,134,352,6
Al-Farouq Aminu,SF,25,POR,82,82,2341,299,719,8.8,126,349,115,156,499,138,72,53,120,171,839,10.2
Allen Crabbe,SG,23,POR,81,8,2105,311,678,8.4,112,285,98,113,216,99,63,16,64,192,832,10.3
Alonzo Gee,SF,28,NOP,73,38,1632,132,255,3.5,17,60,44,66,245,72,63,13,55,169,325,4.5
Amar'e Stoudemire,C,33,MIA,52,36,762,125,221,4.3,0,0,50,67,222,27,18,41,47,92,300,5.8
Amir Johnson,PF,28,BOS,79,76,1800,249,426,5.4,10,43,69,121,505,138,52,83,94,214,577,7.3
Anderson Varejao,C,33,CLE,31,0,310,32,76,2.5,0,1,16,21,91,20,11,5,16,35,80,2.6
Anderson Varejao,C,33,GSW,22,0,186,21,48,2.2,0,0,16,29,50,15,5,5,6,35,58,2.6
Anderson Varejao,C,33,TOT,53,0,496,53,124,2.3,0,1,32,50,141,35,16,10,22,70,138,2.6
Andre Drummond,C,22,DET,81,81,2666,552,1060,13.1,2,6,208,586,1198,67,119,112,155,245,1314,16.2
Andre Iguodala,SF,32,GSW,65,1,1732,176,368,5.7,54,154,51,83,263,219,73,19,79,102,457,7
Andre Miller,PG,39,MIN,26,0,280,36,58,2.2,1,4,15,19,24,58,9,0,25,32,88,3.4
Andre Miller,PG,39,SAS,13,4,181,23,48,3.7,1,4,9,13,27,29,7,0,12,14,56,4.3
Andre Miller,PG,39,TOT,39,4,461,59,106,2.7,2,8,24,32,51,87,16,0,37,46,144,3.7
Andre Roberson,SG,24,OKC,70,70,1553,136,274,3.9,32,103,33,54,251,47,53,42,35,133,337,4.8
Andrea Bargnani,C,30,BRK,46,0,634,127,279,6.1,3,16,47,57,97,18,4,9,26,61,304,6.6
Andrew Bogut,C,31,GSW,70,66,1451,175,279,4,1,1,24,50,492,162,33,114,83,221,375,5.4
Andrew Goudelock,PG,27,HOU,8,0,50,9,20,2.5,1,9,3,4,2,4,6,2,7,4,22,2.8
Andrew Nicholson,PF,26,ORL,56,0,823,146,310,5.5,41,114,51,65,201,25,10,22,41,69,384,6.9
Andrew Wiggins,SF,20,MIN,81,81,2845,594,1294,16,57,190,430,565,292,164,78,46,182,165,1675,20.7
Anthony Bennett,PF,22,TOR,19,0,84,8,27,1.4,3,14,9,10,23,0,5,0,4,8,28,1.5
Anthony Brown,SF,23,LAL,29,11,599,39,126,4.3,20,70,17,20,70,19,14,5,15,34,115,4
Anthony Davis,PF,22,NOP,61,61,2164,560,1136,18.6,35,108,326,430,627,116,78,125,121,148,1481,24.3
Anthony Morrow,SG,30,OKC,68,6,926,136,333,4.9,79,204,29,39,62,24,22,5,17,64,380,5.6
Anthony Tolliver,PF,30,DET,72,5,1341,128,332,4.6,98,272,29,47,229,52,26,16,28,86,383,5.3
Archie Goodwin,PG,21,PHO,57,13,1114,176,422,7.4,23,99,130,193,142,118,27,13,100,84,505,8.9
Aron Baynes,C,29,DET,81,1,1233,194,384,4.7,0,2,126,165,384,51,21,52,67,151,514,6.3
Arron Afflalo,SG,30,NYK,71,57,2371,354,799,11.3,91,238,110,131,266,144,25,10,82,142,909,12.8
Austin Rivers,SG,23,LAC,67,7,1464,226,516,7.7,62,185,79,116,130,99,48,9,61,137,593,8.9
Avery Bradley,SG,25,BOS,76,72,2536,456,1019,13.4,147,407,96,123,220,158,117,19,109,164,1155,15.2
Axel Toupane,SF,23,DEN,21,0,305,25,70,3.3,13,40,13,17,31,15,7,6,6,40,76,3.6
Ben McLemore,SG,22,SAC,68,53,1443,195,455,6.7,67,185,74,103,148,79,52,10,99,140,531,7.8
Beno Udrih,PG,33,MEM,8,0,120,20,46,5.8,4,11,3,3,9,26,3,1,11,11,47,5.9
Beno Udrih,PG,33,MIA,36,5,587,66,152,4.2,11,33,15,17,63,90,11,0,42,40,158,4.4
Beno Udrih,PG,33,TOT,44,5,707,86,198,4.5,15,44,18,20,72,116,14,1,53,51,205,4.7
Bismack Biyombo,C,23,TOR,82,22,1808,156,288,3.5,0,1,142,226,655,29,19,133,71,225,454,5.5
Blake Griffin,PF,26,LAC,35,35,1170,301,603,17.2,6,18,141,194,294,170,28,17,83,95,749,21.4
Boban Marjanovic,C,27,SAS,54,4,508,105,174,3.2,0,0,87,114,194,21,12,23,29,54,297,5.5
Bobby Portis,PF,20,CHI,62,4,1102,186,436,7,16,52,48,66,337,52,25,22,54,100,436,7
Bojan Bogdanovic,SF,26,BRK,79,39,2115,324,749,9.5,129,338,110,132,255,99,29,5,115,119,887,11.2
Boris Diaw,PF,33,SAS,76,4,1386,202,383,5,25,69,56,76,233,176,26,21,97,102,485,6.4
Bradley Beal,SG,22,WAS,55,35,1708,359,799,14.5,105,271,135,176,188,162,54,11,112,117,958,17.4
Brandan Wright,PF,28,MEM,12,2,212,35,52,4.3,0,0,13,24,43,6,5,15,10,21,83,6.9
Branden Dawson,PF,22,LAC,6,0,29,2,5,0.8,0,0,1,1,4,0,0,1,0,2,5,0.8
Brandon Bass,PF,30,LAL,66,0,1342,174,317,4.8,0,2,125,148,285,74,33,55,42,125,473,7.2
Brandon Jennings,PG,26,DET,23,1,416,53,143,6.2,24,77,27,38,46,70,11,2,22,24,157,6.8
Brandon Jennings,PG,26,ORL,25,6,452,59,161,6.4,27,78,30,40,50,100,18,5,35,33,175,7
Brandon Jennings,PG,26,TOT,48,7,868,112,304,6.3,51,155,57,78,96,170,29,7,57,57,332,6.9
Brandon Knight,SG,24,PHO,52,50,1870,371,895,17.2,120,351,156,183,202,263,61,20,177,124,1018,19.6
Brandon Rush,SG,30,GSW,72,25,1055,111,260,3.6,65,157,18,28,181,57,20,23,33,57,305,4.2
Brian Roberts,PG,30,CHO,30,0,333,51,115,3.8,9,27,34,37,29,38,7,1,16,23,145,4.8
Brian Roberts,PG,30,POR,21,0,137,23,50,2.4,6,15,8,10,12,16,3,1,7,12,60,2.9
Brian Roberts,PG,30,TOT,51,0,470,74,165,3.2,15,42,42,47,41,54,10,2,23,35,205,4
Briante Weber,PG,23,MEM,6,4,166,13,38,6.3,0,5,3,4,24,20,9,3,9,11,29,4.8
Briante Weber,PG,23,MIA,1,0,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2,2
Briante Weber,PG,23,TOT,7,4,169,14,39,5.6,0,5,3,4,25,21,9,3,9,12,31,4.4
Brook Lopez,C,27,BRK,73,73,2457,591,1157,15.8,2,14,317,403,573,147,58,124,175,215,1501,20.6
Bruno Caboclo,SF,20,TOR,6,1,43,1,12,2,1,7,0,0,2,1,2,1,4,2,3,0.5
Bryce Cotton,PG,23,MEM,5,0,6,2,2,0.4,0,0,0,0,0,0,0,0,0,0,4,0.8
Bryce Cotton,PG,23,PHO,3,0,33,2,8,2.7,0,3,0,0,0,3,3,0,5,2,4,1.3
Bryce Cotton,PG,23,TOT,8,0,39,4,10,1.3,0,3,0,0,0,3,3,0,5,2,8,1
Bryce Dejean-Jones,SG,23,NOP,14,11,279,28,69,4.9,12,32,11,21,48,15,10,2,11,17,79,5.6
C.J. McCollum,SG,24,POR,80,80,2780,641,1431,17.9,197,472,187,226,259,341,97,23,196,187,1666,20.8
C.J. Miles,SF,28,IND,64,24,1464,259,634,9.9,142,387,93,124,175,63,53,29,70,142,753,11.8
C.J. Watson,PG,31,ORL,33,2,656,47,137,4.2,14,48,34,39,66,88,19,5,25,49,142,4.3
C.J. Wilcox,SG,25,LAC,23,0,167,26,66,2.9,9,23,9,12,12,10,10,2,2,15,70,3
Cameron Bairstow,C,25,CHI,18,2,103,13,40,2.2,1,5,7,8,28,6,2,3,4,19,34,1.9
Cameron Payne,PG,21,OKC,57,1,698,114,278,4.9,36,111,19,24,85,108,36,6,44,80,283,5
Carl Landry,PF,32,PHI,36,12,569,139,250,6.9,6,13,67,91,146,32,12,9,22,69,351,9.8
Carmelo Anthony,SF,31,NYK,72,72,2530,567,1307,18.2,105,310,334,403,556,299,62,38,176,180,1573,21.8
Caron Butler,SF,35,SAC,17,1,176,25,59,3.5,3,18,10,12,22,10,9,1,3,19,63,3.7
Chandler Parsons,SF,27,DAL,61,51,1799,320,651,10.7,104,251,93,136,285,169,46,21,95,114,837,13.7
Channing Frye,C,32,CLE,26,3,446,71,161,6.2,43,114,11,14,93,26,8,8,13,56,196,7.5
Channing Frye,PF,32,ORL,44,29,754,81,186,4.2,48,121,19,21,141,45,21,20,30,71,229,5.2
Channing Frye,PF-C,32,TOT,70,32,1200,152,347,5,91,235,30,35,234,71,29,28,43,127,425,6.1
Charlie Villanueva,PF,31,DAL,62,4,665,125,327,5.3,47,172,22,24,152,24,18,15,31,71,319,5.1
Chase Budinger,SF,27,IND,49,2,729,81,194,4,20,69,34,48,121,49,29,9,31,46,216,4.4
Chase Budinger,SF,27,PHO,17,0,200,23,45,2.6,4,17,5,8,29,15,3,1,13,16,55,3.2
Chase Budinger,SF,27,TOT,66,2,929,104,239,3.6,24,86,39,56,150,64,32,10,44,62,271,4.1
Chris Andersen,C,37,MEM,20,14,366,34,62,3.1,2,9,22,32,89,9,14,10,7,25,92,4.6
Chris Andersen,C,37,MIA,7,1,36,4,10,1.4,2,5,3,4,9,3,1,3,2,4,13,1.9
Chris Andersen,C,37,TOT,27,15,402,38,72,2.7,4,14,25,36,98,12,15,13,9,29,105,3.9
Chris Bosh,PF,31,MIA,53,53,1778,358,767,14.5,81,222,213,268,390,128,36,34,78,101,1010,19.1
Chris Copeland,PF,31,MIL,24,1,156,17,51,2.1,10,36,6,7,10,11,2,0,6,17,50,2.1
Chris Johnson,SF,25,UTA,70,2,857,72,194,2.8,27,99,34,42,132,45,32,20,40,100,205,2.9
Chris Kaman,C,33,POR,16,2,112,20,43,2.7,1,4,3,3,24,11,1,1,8,15,44,2.8
Chris McCullough,PF,20,BRK,24,4,362,44,109,4.5,13,34,11,23,68,9,28,12,15,39,112,4.7
Chris Paul,PG,30,LAC,74,74,2420,515,1114,15.1,122,329,294,328,310,738,152,13,194,185,1446,19.5
Christian Wood,PF,20,PHI,17,0,145,22,53,3.1,4,11,13,21,38,3,5,7,2,11,61,3.6
Chuck Hayes,C,32,HOU,2,0,24,1,2,1,0,0,2,2,8,2,0,0,3,6,4,2
Cleanthony Early,SF,24,NYK,17,2,154,12,40,2.4,4,15,3,4,26,6,2,3,9,16,31,1.8
Cliff Alexander,PF,20,POR,8,0,36,5,10,1.3,0,0,0,0,6,0,1,2,1,1,10,1.3
Clint Capela,C,21,HOU,77,35,1471,231,397,5.2,0,1,80,211,494,47,59,92,60,190,542,7
Cody Zeller,C,23,CHO,73,60,1774,231,437,6,1,10,175,232,455,71,57,63,68,204,638,8.7
Cole Aldrich,C,27,LAC,60,5,800,134,225,3.8,0,0,60,84,288,50,47,68,64,139,328,5.5
Corey Brewer,SF,29,HOU,82,12,1669,212,552,6.7,61,224,105,140,199,109,84,19,78,168,590,7.2
Cory Jefferson,PF,25,PHO,8,0,50,9,22,2.8,0,1,4,6,16,0,0,1,0,8,22,2.8
Cory Joseph,SG,24,TOR,80,4,2046,257,585,7.3,30,110,133,174,210,250,63,20,102,131,677,8.5
Coty Clarke,SF,23,BOS,3,0,6,2,4,1.3,2,2,0,0,1,0,0,0,1,0,6,2
Courtney Lee,SG,30,CHO,28,28,845,98,220,7.9,31,79,23,26,87,60,33,12,23,55,250,8.9
Courtney Lee,SG,30,MEM,51,37,1489,192,419,8.2,51,138,76,92,118,76,52,16,49,79,511,10
Courtney Lee,SG,30,TOT,79,65,2334,290,639,8.1,82,217,99,118,205,136,85,28,72,134,761,9.6
Cristiano Felicio,C,23,CHI,31,4,321,40,72,2.3,0,4,25,35,102,26,6,13,13,31,105,3.4
D.J. Augustin,PG,28,DEN,28,0,659,102,229,8.2,44,107,77,94,52,132,25,2,54,44,325,11.6
D.J. Augustin,PG,28,OKC,34,0,519,46,121,3.6,24,61,26,34,43,66,13,2,30,41,142,4.2
D.J. Augustin,PG,28,TOT,62,0,1178,148,350,5.6,68,168,103,128,95,198,38,4,84,85,467,7.5
Dahntay Jones,SF,35,CLE,1,0,42,6,14,14,1,2,0,0,5,2,1,2,0,6,13,13
Damian Lillard,PG,25,POR,75,75,2676,618,1474,19.7,229,610,414,464,302,512,65,28,242,165,1879,25.1
Damien Inglis,SF,20,MIL,20,1,156,13,37,1.9,3,13,7,8,31,10,6,3,11,11,36,1.8
Damjan Rudez,SF,29,MIN,33,0,277,25,62,1.9,17,50,8,8,20,11,3,1,13,33,75,2.3
D'Angelo Russell,PG,19,LAL,80,48,2259,392,956,12,130,370,140,190,274,266,93,13,196,142,1054,13.2
Danilo Gallinari,SF,27,DEN,53,53,1839,287,700,13.2,87,239,375,432,281,135,42,19,77,87,1036,19.5
Danny Green,SG,28,SAS,79,79,2062,211,561,7.1,116,349,34,46,303,141,79,64,75,141,572,7.2
Dante Cunningham,SF,28,NOP,80,46,1971,186,412,5.2,55,174,57,82,236,77,42,33,41,173,484,6.1
Darrell Arthur,PF,27,DEN,70,16,1516,221,489,7,45,117,40,53,293,96,53,48,66,185,527,7.5
Darren Collison,PG,28,SAC,74,15,2219,377,776,10.5,87,217,194,226,169,318,76,4,130,142,1035,14
Darrun Hilliard,SG,22,DET,38,2,383,52,131,3.4,19,50,29,40,45,27,9,1,19,28,152,4
David Lee,PF,32,BOS,30,4,470,87,192,6.4,0,1,40,51,130,54,12,13,38,51,214,7.1
David Lee,PF,32,DAL,25,1,433,91,143,5.7,0,0,31,42,175,30,10,15,28,63,213,8.5
David Lee,PF,32,TOT,55,5,903,178,335,6.1,0,1,71,93,305,84,22,28,66,114,427,7.8
David West,PF,35,SAS,78,19,1404,244,448,5.7,3,7,63,80,309,143,44,55,68,142,554,7.1
DeAndre Jordan,C,27,LAC,77,77,2598,357,508,6.6,0,1,266,619,1059,90,51,177,107,207,980,12.7
DeJuan Blair,C,26,WAS,29,0,218,28,68,2.3,0,1,5,13,57,11,8,2,15,53,61,2.1
Delon Wright,PG,23,TOR,27,1,229,36,80,3,5,13,26,35,37,31,8,3,16,7,103,3.8
DeMar DeRozan,SG,26,TOR,78,78,2804,614,1377,17.7,47,139,555,653,349,315,81,21,175,167,1830,23.5
DeMarcus Cousins,C,25,SAC,65,65,2246,601,1332,20.5,70,210,476,663,747,214,101,92,249,236,1748,26.9
DeMarre Carroll,SF,29,TOR,26,22,786,105,270,10.4,46,118,30,50,122,27,44,6,28,63,286,11
Dennis Schroder,PG,22,ATL,80,6,1621,329,781,9.8,77,239,144,182,204,349,70,9,183,138,879,11
Deron Williams,PG,31,DAL,65,63,2106,321,775,11.9,97,282,179,206,190,378,61,14,150,155,918,14.1
Derrick Favors,PF,24,UTA,62,59,1983,418,811,13.1,0,4,180,254,503,94,74,91,104,150,1016,16.4
Derrick Rose,PG,27,CHI,66,66,2097,447,1048,15.9,44,150,142,179,225,311,44,14,175,84,1080,16.4
Derrick Williams,SF,24,NYK,80,9,1435,254,565,7.1,44,150,194,256,296,75,29,9,61,69,746,9.3
Devin Booker,SG,19,PHO,76,51,2108,367,867,11.4,99,289,215,256,187,200,44,20,160,225,1048,13.8
Devin Harris,PG,32,DAL,64,0,1280,167,374,5.8,52,158,101,140,138,118,60,13,66,124,487,7.6
Devyn Marble,SG,23,ORL,28,0,249,21,71,2.5,8,32,10,24,38,12,13,1,7,25,60,2.1
Dewayne Dedmon,C,26,ORL,58,20,705,99,177,3.1,0,0,57,76,228,13,22,46,32,109,255,4.4
Dion Waiters,SG,24,OKC,78,15,2152,282,706,9.1,86,240,112,157,202,154,81,15,120,143,762,9.8
Dirk Nowitzki,PF,37,DAL,75,75,2364,498,1112,14.8,126,342,250,280,489,132,52,52,84,161,1372,18.3
Donald Sloan,PG,28,BRK,61,33,1318,154,350,5.7,38,99,78,104,173,268,32,4,80,73,424,7
Donatas Motiejunas,PF,25,HOU,37,22,547,90,205,5.5,16,57,34,53,109,41,17,5,44,69,230,6.2
Doug McDermott,SF,24,CHI,81,4,1861,291,644,8,110,259,72,84,195,59,14,6,53,127,764,9.4
Draymond Green,PF,25,GSW,81,81,2808,401,819,10.1,100,258,229,329,769,598,119,113,259,240,1131,14
Drew Gooden,PF,34,WAS,30,0,305,33,103,3.4,7,41,9,14,85,13,8,11,13,40,82,2.7
Duje Dukan,SF,24,SAC,1,0,24,2,10,10,2,5,0,0,4,1,1,0,0,2,6,6
Dwight Howard,C,30,HOU,71,71,2280,372,600,8.5,0,6,232,474,835,98,69,113,166,219,976,13.7
Dwight Powell,PF,24,DAL,69,2,992,146,296,4.3,2,16,105,142,273,44,36,24,40,118,399,5.8
Dwyane Wade,SG,34,MIA,74,73,2258,540,1183,16,7,44,322,406,302,344,79,42,203,116,1409,19
Ed Davis,PF,26,POR,81,0,1684,206,337,4.2,0,0,114,204,599,88,57,72,64,202,526,6.5
Elfrid Payton,PG,21,ORL,73,69,2145,318,730,10,30,92,112,190,261,468,89,20,177,159,778,10.7
Elijah Millsap,SG,28,UTA,20,0,173,11,39,2,1,12,13,18,35,19,7,3,9,33,36,1.8
Elliot Williams,PG,26,MEM,5,0,45,2,10,2,1,4,3,4,4,4,0,0,1,2,8,1.6
Elton Brand,C,36,PHI,17,1,225,31,72,4.2,0,1,8,9,63,18,9,8,11,32,70,4.1
Emmanuel Mudiay,PG,19,DEN,68,66,2068,329,905,13.3,74,232,140,209,232,372,65,35,217,141,872,12.8
Enes Kanter,C,23,OKC,82,1,1721,414,719,8.8,10,21,200,251,664,33,26,33,115,166,1038,12.7
Eric Bledsoe,PG,26,PHO,31,31,1059,223,492,15.9,48,129,138,172,125,190,63,19,110,75,632,20.4
Eric Gordon,SG,27,NOP,45,44,1481,231,552,12.3,113,294,111,125,99,121,43,14,73,98,686,15.2
Eric Moreland,PF,24,SAC,8,0,48,3,6,0.8,0,0,2,4,11,1,0,4,3,4,8,1
Erick Green,PG,24,DEN,3,0,7,0,1,0.3,0,1,0,0,1,1,0,0,0,0,0,0
Erick Green,PG,24,TOT,9,0,42,5,13,1.4,1,5,2,2,6,3,1,0,0,4,13,1.4
Erick Green,PG,24,UTA,6,0,35,5,12,2,1,4,2,2,5,2,1,0,0,4,13,2.2
Ersan Ilyasova,PF,28,DET,52,52,1434,216,508,9.8,78,215,79,109,282,55,38,27,59,120,589,11.3
Ersan Ilyasova,PF,28,ORL,22,4,447,64,153,7,18,44,32,45,121,12,14,6,12,51,178,8.1
Ersan Ilyasova,PF,28,TOT,74,56,1881,280,661,8.9,96,259,111,154,403,67,52,33,71,171,767,10.4
E'Twaun Moore,SG,26,CHI,59,22,1263,187,389,6.6,47,104,22,35,133,99,37,18,53,103,443,7.5
Evan Fournier,SF,23,ORL,79,71,2566,429,929,11.8,156,390,199,238,225,213,96,2,133,214,1213,15.4
Evan Turner,SG,27,BOS,81,12,2271,343,753,9.3,20,83,148,179,397,359,80,28,169,139,854,10.5
Festus Ezeli,C,26,GSW,46,13,770,125,228,5,0,0,70,132,257,32,18,50,38,94,320,7
Frank Kaminsky,C,22,CHO,81,3,1708,215,525,6.5,68,202,108,148,335,98,38,43,58,126,606,7.5
Garrett Temple,SF,29,WAS,80,43,1951,201,505,6.3,89,258,91,125,212,140,69,18,64,195,582,7.3
Gary Harris,SG,21,DEN,76,76,2439,359,765,10.1,105,297,109,133,220,147,97,18,98,143,932,12.3
Gary Neal,SG,31,WAS,40,2,807,151,325,8.1,41,100,47,55,83,47,20,1,29,55,390,9.8
George Hill,PG,29,IND,74,73,2524,326,739,10,128,314,114,150,298,259,83,17,101,149,894,12.1
Gerald Green,SG,30,MIA,69,14,1557,230,587,8.5,84,260,72,92,163,56,38,19,46,123,616,8.9
Gerald Henderson,SG,28,POR,72,0,1431,232,529,7.3,48,136,112,146,211,75,39,19,68,87,624,8.7
Giannis Antetokounmpo,PG,21,MIL,80,79,2823,513,1013,12.7,28,109,296,409,612,345,94,113,208,258,1350,16.9
Glenn Robinson,SF,22,IND,45,4,508,65,151,3.4,14,37,27,39,68,26,17,9,18,21,171,3.8
Goran Dragic,PG,29,MIA,72,72,2363,417,875,12.2,64,205,120,165,277,419,71,17,185,188,1018,14.1
Gordon Hayward,SF,25,UTA,80,80,2893,521,1202,15,143,410,393,477,397,296,95,27,202,183,1578,19.7
